,Year,Panel,Category,Proposal,Project,Role,FirstName,Initials,Surname,Gender
510,2009,MIS,STD,09-UOA-031,Efficient analysis with biased samples,PI,Alan,AJ,Lee,M
629,2010,BMS,STD,10-UOA-097,Regenerating the kidney with stem cells: Novel insights from zebrafish,PI,Alan,AJ,Davidson,M
810,2010,ESA,STD,10-UOW-056,New views from old soils: testing the reconstruction of environmental and climatic change using genetic signals preserved in buried paleosols,AI,Alan,AJ,Cooper,M
1000,2011,EHB,STD,11-LCR-001,Investigating prehistoric Moriori settlement on Rekohu (Chatham Islands),AI,Alan,AJ,Cooper,M
1135,2011,MIS,FS,11-VUW-123,Attacking the grand challenge of a verifying compiler,AI,Alan,A,Mycroft,M
1228,2012,EEB,STD,12-MAU-008,Punctuated evolution: is rapid morphological change linked to speciation?,AI,Alan,AG,Beu,M
1346,2012,MIS,STD,12-UOA-178,Statistical methods for complex samples,PI,Alan,AJ,Lee,M
2056,2014,SOC,STD,14-VUW-081,Educating for emigration? Searching for appropriate education policy in the Pacific Islands,AI,Alan,AJ,Gamlen,M
2191,2015,EIS,STD,15-UOA-032,A human neural chip platform for in vitro neuroscientific discovery,AI,Alan,AF,Murray,M
2513,2016,ESA,STD,16-NIW-027,Active submarine landslides ride on gas pockets,AI,Alan,AR,Orpin,M
2948,2017,MIS,STD,17-MAU-037,"Lattice polytope samplers: theory, methods and applications",AI,Alan,AJ,Lee,M
511,2009,MIS,STD,09-UOA-031,Efficient analysis with biased samples,PI,Alastair,AJ,Scott,M
713,2010,EEB,FS,10-MNZ-002,Does every spider orchid in NZ have its fungus gnat? Evaluating the role of plant-insect pollinator interaction in the diversification of sympatric cytotypes of Nematoceras trilobum,AI,Alastair,AW,Robertson,M
1347,2012,MIS,STD,12-UOA-178,Statistical methods for complex samples,PI,Alastair,AJ,Scott,M
2912,2017,ESA,FS,17-MAU-139,Sea-level is not level: unraveling the drivers of spatial and temporal variations in past sea-level changes around the New Zealand coast,PI,Alastair,AJH,Clement,M
205,2008,MIS,FS,08-UOC-034,Aquatic ecosystem dynamics: size or species?,AI,Alex,A,James,M
209,2008,MIS,FS,08-VUW-016,Unification of immutability and ownership,PI,Alex,A,Potanin,M
481,2009,ESA,FS,09-UOC-017,Uncorking volcanoes - the textural evolution of volcanic plugs,AI,Alex,ARL,Nichols,M
18,2008,BMS,STD,08-UOO-106,How do we generate potent immune responses when infection strikes? A new role for T cell help in the immune response,PI,Alexander,AD,McLellan,M
35,2008,CMP,STD,08-UOO-054,Deciphering the role of peroxiredoxins in the cellular response to oxidative stress,AI,Alexander,AV,Peskin,M
384,2009,EEB,STD,09-UOA-121,Does complex tool manufacture require specific cognitive and neural adaptations?,AI,Alexander,AH,Taylor,M
1057,2011,ESA,STD,11-UOO-043,Life in and beyond maars: a revolution in understanding New Zealand Miocene terrestrial biodiversity and ecosystems,AI,Alexander,AR,Schmidt,M
1709,2013,MIS,FS,13-VUW-107,Model theoretic techniques in Banach spaces and combinatorics,PI,Alexander,A,Usvyatsov,M
1782,2013,SOC,FS,13-VUW-087,Territorial disputes and civil society in Northeast Asian democracies,PI,Alexander,A,Bukh,M
1935,2014,ESA,STD,14-UOO-102,Captured in amber: ecological complexity in New Zealand's ancient araucarian forests,AI,Alexander,AR,Schmidt,M
2360,2016,BMS,STD,16-UOO-005,Drinking for two: Central resetting of water balance in pregnancy and lactation,AI,Alexander,AJ,Seymour,M
2373,2016,BMS,STD,16-UOO-233,Hypothalamic Inflammation: Cause of leptin resistance and obesity?,PI,Alexander,A,Tups,M
2589,2016,MIS,STD,16-VUW-131,The Mathematics of Computation,PI,Alexander,AG,Melnikov,M
631,2010,BMS,STD,10-UOA-202,Astrocytes: a new cellular target for central nervous system gene therapy,AI,Alexandre,AI,Mouravlev,F
2077,2015,BMS,STD,15-UOA-039,A novel molecular sensor to optimise central nervous system gene therapy,AI,Alexandre,AI,Mouravlev,F
79,2008,EEB,STD,08-UOA-170,Geographic dynamics of evolving viral populations,PI,Alexei,AJ,Drummond,M
849,2010,MIS,STD,10-UOA-165,From automatic groups to automatic structures and beyond,PI,Alexei,AG,Myasnikov,M
1692,2013,MIS,STD,13-UOA-061,A unified framework for phylodynamic inference of infectious diseases,PI,Alexei,AJ,Drummond,M
2418,2016,EEB,STD,16-UOA-277,"Genomes, phenotypes and fossils: integrative models of species evolution",PI,Alexei,AJ,Drummond,M
2604,2016,PCB,STD,16-MAU-073,Playing dice with Fermi: Full configuration interaction quantum Monte Carlo for fermionic superfluids,AI,Ali,A,Alavi,M
2481,2016,EHB,FS,16-VUW-204,Children's understanding of shared knowledge and its importance for effective communication,PI,Alia,A,Martin,F
2943,2017,HUM,STD,17-UOW-030,Writing the new world: Indigenous texts 1900-1975.,PI,Alice,A,Te Punga Somerville,F
3032,2017,SOC,STD,17-UOA-192,Going straight home? The role of stable housing in reducing re-offending by ex-prisoners,PI,Alice,AL,Mills,F
345,2009,CMP,STD,09-UOO-136,A bee-line into memory mechanisms,PI,Alison,AR,Mercer,F
625,2009,SOC,FS,09-UOW-035,What counts as healthy food? Balancing organisational tensions between private and public agendas,PI,Alison,AM,Henderson,F
676,2010,CMP,FS,10-LIU-016,Overcoming plant immune responses - the key to fungal symbiosis,AI,Alison,A,Stewart,F
960,2011,CMP,FS,11-LIU-001,Geomagnetic calendars: biological regulation at the planetary level,AI,Alison,A,Stewart,F
1216,2012,CMP,STD,12-UOO-161,En garde! The development of a stress response in bees and its impact on learning and memory,PI,Alison,AR,Mercer,F
1256,2012,EHB,STD,12-UOO-026,Living in the shadow of Angkor : responses and strategies of upland social groups to polity demise in the late- to post-Angkor period,AI,Alison,AK,Carter,F
1325,2012,ESA,FS,12-NIW-008,Waves in ice: will an increase in Southern Ocean storms have an impact on Antarctic sea-ice?,PI,Alison,AL,Kohout,F
1522,2013,EEB,FS,13-VUW-038,Making a rod for our own backs: do human actions select for traits that promote invasiveness in animals?,AI,Alison,AR,Mercer,F
1576,2013,EIS,STD,13-UOC-076,Graphene supercapacitors: transforming energy storage solutions,PI,Alison,AJ,Downard,F
1947,2014,ESA,STD,14-VUW-090,Swings and roundabouts? What drives opposing trends in sea ice between the Ross and Amundsen Seas?,AI,Alison,AL,Kohout,F
2160,2015,EHB,STD,15-UOO-018,The origins of social inequality in Southeast Asia: an exploration of health and wealth disparity at the emergence of state level society,AI,Alison,AK,Carter,F
2641,2016,SOC,STD,16-UOW-064,Counting our Tūpuna: Colonisation and Indigenous Survivorship in Aotearoa NZ,AI,Alison,AS,Day,F
2993,2017,PCB,STD,17-UOC-064,Tailored environments for highly active and stable electrocatalysts,PI,Alison,AJ,Downard,F
1276,2012,EIS,STD,12-UOA-222,Heart failure and remodelling: from images to mechanics,PI,Alistair,AA,Young,M
1450,2013,BMS,FS,13-UOA-165,Role of the extracellular matrix in regulating myelination deficits following ischemia in preterm infants,AI,Alistair,AJ,Gunn,M
1538,2013,EHB,STD,13-UOO-048,Does language syntax mirror the structure of sensorimotor cognition?,PI,Alistair,AJ,Knott,M
1902,2014,EIS,STD,14-UOA-063,Sounding the heart: the mechanics of cardiac elastography,PI,Alistair,AA,Young,M
2636,2016,SOC,STD,16-UOO-045,"The origins and development of pre-European contact musical instruments in Aotearoa (New Zealand), Rekohu and Rangiaotea (Chatham and Pitt Islands).",AI,Alistair,AW,Fraser,M
15,2008,BMS,STD,08-UOO-103,Defining a new estrogen pathway to GnRH neurons,PI,Allan,AE,Herbison,M
1195,2012,BMS,STD,12-UOO-030,Recording the electrical activity of GnRH neurons in vivo,PI,Allan,AE,Herbison,M
1339,2012,HUM,FS,12-UOA-114,"Face, screen, interface: rendering the face in screen-based media from early cinema to digital special effects",PI,Allan,AD,Cameron,M
1796,2014,BMS,STD,14-UOO-077,Functional dissection of a novel GABAergic pathway in the brain circuitry controlling fertility,AI,Allan,AE,Herbison,M
2322,2015,PCB,FS,15-UOO-163,"Targeted, triggered and zero waste prodrug activation",PI,Allan,AB,Gamble,M
2371,2016,BMS,STD,16-UOO-201,In vivo gene editing with CRISPR to define estrogen feedback in the brain,PI,Allan,AE,Herbison,M
2846,2017,EIS,FS,17-MAU-029,Understanding friction in granular mixtures: an experimental and modelling study,AI,Allan,AP,Raudsepp,M
1465,2013,CMP,STD,13-UOA-315,Armed to deliver: insight into the action of a microinjection nanodevice,PI,Alok,AK,Mitra,M
1467,2013,CMP,STD,13-UOO-128,Fungal drug resistance: not as simple as A-B-C,AI,Alok,AK,Mitra,M
188,2008,MIS,STD,08-MAU-033,Complexity reduction in neural models,AI,Alona,A,Ben-Tal,F
1587,2013,EIS,FS,13-UOA-032,The impact of maternal arterial remodelling on placental vascular development,PI,Alys,AR,Clark,F
1907,2014,EIS,STD,14-UOA-308,Optical micro-elastography and biomechanics of the lung alveolar tissue,AI,Alys,AR,Clark,F
2126,2015,EEB,STD,15-PAF-007,What was the first smell?,AI,Amali,AH,Thrimawithana,F
255,2008,SOC,STD,08-UOC-025,Carbon neutrality: fact or fiction?,PI,Amanda,AK,Ball,F
2655,2016,SOC,FS,16-LIU-011,Reindigenising the Biosecurity System,PI,Amanda,A,Black,F
2929,2017,ESA,FS,17-VUW-121,The straw that didn’t break the camel’s back: what variations in stressing-rate can faults withstand?,AI,Amanda,AM,Thomas,F
3061,2017,SOC,STD,17-UOW-047,Refugee families in early childhood education: constructing pathways to belonging,AI,Amanda,AJ,Bateman,F
2965,2017,MIS,STD,17-UOC-015,The Combinatorics of Reticulate Evolution,AI,Amaury,A,Lambert,M
3007,2017,PCB,FS,17-UOO-230,Single photon control of optical phase using ultracold Rydberg atoms,PI,Amita,AB,Deb,F
1982,2014,HUM,FS,14-UOA-283,Good neighbourliness in international law,PI,An,AKM,Hertogen,F
2791,2017,EHB,STD,17-MAU-133,"Predict to decide: Investigating decision markets in theory, experiments and practical applications",AI,Ananish,A,Chaudhuri,M
2800,2017,EHB,STD,17-UOA-074,Political gaming: using economic games to explore the foundations of political ideology,PI,Ananish,A,Chaudhuri,M
1105,2011,HUM,STD,11-VUW-002,Dalits in the history of Partition in eastern India,AI,Anasua,A,Basu Ray Chaudhury,F
199,2008,MIS,STD,08-UOA-187,"Aspects of computability in algebra, model theory, and randomness",PI,André,A,Nies,M
636,2010,BMS,STD,10-UOO-098,Multifunctional azoles: A triple whammy designed to defeat drug resistance,AI,André,A,Goffeau,M
1699,2013,MIS,STD,13-UOA-287,"Randomness, analysis, and reverse mathematics",PI,André,A,Nies,M
417,2009,EHB,STD,09-UOA-173,Redrawing the Polynesian Triangle: Did Polynesian settlement extend to South America?,AI,Andrea,AH,Seelenfreud,F
743,2010,EIS,STD,10-UOA-021,Multiobjective network equilibria - From definition to algorithms,AI,Andrea,A,Raith,F
2119,2015,CMP,FS,15-UOA-194,A road map for Cannabinoid Receptor 2 intracellular trafficking: molecular mechanisms of cell surface delivery,AI,Andrea,AJ,Vernall,F
2595,2016,MIS,FS,16-UOA-086,Novel Decomposition Techniques for Multiobjective Optimisation,PI,Andrea,A,Raith,F
565,2009,PSE,FS,09-GNS-014,Revealing the role of surface states in PbSe nanocrystals,AI,Andreas,A,Markwitz,M
846,2010,MIS,STD,10-UOA-113,The conformal geometry of submanifolds and natural PDE,AI,Andreas,A,Cap,M
1684,2013,MIS,STD,13-UOA-018,New directions at the geometry-analysis frontier,AI,Andreas,A,Cap,M
2573,2016,MIS,STD,16-UOA-051,Geometric structures critical for analysis and physical theories,AI,Andreas,A,Cap,M
2569,2016,HUM,FS,16-UOW-015,The dating game of loanwords: linguistic and sociolinguistic characteristics influencing loanword usage,PI,Andreea,AS,Calude,F
2447,2016,EEB,FS,16-NIW-025,The ocean vacuum-cleaner: Salp effects on the marine carbon cycle,AI,Andres,A,Gutierrez Rodriguez,M
858,2010,MIS,STD,10-UOO-221,Sampling from probability distributions arising in inverse problems,AI,Andrés,JA,Christen,M
7,2008,BMS,STD,08-UOA-086,Protein dynamics is the key to the regulation of cytokine-induced intracellular signalling,AI,Andrew,AV,Kralicek,M
9,2008,BMS,STD,08-UOA-086,Protein dynamics is the key to the regulation of cytokine-induced intracellular signalling,PI,Andrew,AJ,Dingley,M
150,2008,ESA,STD,08-UOO-034,Unlocking Early Miocene climate: New Zealand in a warmer world,AI,Andrew,AR,Gorman,M
326,2009,CMP,STD,09-PAF-008,Channelling scent: how insects smell using ligand-gated calcium channels,AI,Andrew,AV,Kralicek,M
457,2009,ESA,STD,09-UOO-078,Solving the mystery of sustained ocean fertility at the Subantarctic Front. Seismic oceanography gives us the means,PI,Andrew,AR,Gorman,M
530,2009,PSE,STD,09-IRL-008,The irony of spin: complex and competing magnetic and electronic interactions in Fe-based compounds,PI,Andrew,AJ,Kay,M
628,2010,BMS,STD,10-MAU-116,Stretching protein springs: How do cells respond to force?,PI,Andrew,AJ,Sutherland-Smith,M
790,2010,ESA,STD,10-GNS-029,"Uncorking the hydrate bottle: Release of methane from melting gas hydrates during glacial cycles on the Chatham Rise, New Zealand",PI,Andrew,AR,Gorman,M
975,2011,EEB,STD,11-NIW-008,Under the weather: warming and acidification effects under the ice in Antarctica,PI,Andrew,AM,Lohrer,M
1005,2011,EHB,STD,11-UOA-027,Detecting prehistoric human-climate dynamics in central Polynesia using high-precision marine archives,AI,Andrew,AM,Lorrey,M
1029,2011,EIS,STD,11-UOA-199,A cardiac myometer,PI,Andrew,AJ,Taberner,M
1078,2011,ESA,STD,11-VUW-068,Unlocking the secrets of the geodynamo: the SW Pacific key,AI,Andrew,AP,Roberts,M
1091,2011,ESA,FS,11-NIW-003,Understanding New Zealand's prehistoric climate through kauri chemistry,PI,Andrew,AM,Lorrey,M
1098,2011,ESA,FS,11-VUW-071,For how long can glaciers keep advancing in a warming world?,AI,Andrew,AN,Mackintosh,M
1181,2011,SOC,STD,11-VUW-009,REDD and the new political ecology of forest protection in Indonesia,PI,Andrew,AR,McGregor,M
1191,2012,BMS,STD,12-UOA-086,Tracing the footsteps of a viral polymerase,AI,Andrew,AC,Hausrath,M
1212,2012,CMP,STD,12-UOO-161,En garde! The development of a stress response in bees and its impact on learning and memory,AI,Andrew,AB,Barron,M
1224,2012,EEB,STD,12-LCR-011,Do priority effects explain contrasting lineage diversification on islands?,AI,Andrew,AJ,Tanentzap,M
1232,2012,EEB,STD,12-MAU-032,The genetics and epigenetics of bird migration timing,PI,Andrew,AE,Fidler,M
1314,2012,ESA,STD,12-NIW-006,Investigating the role of ozone in New Zealand and Southern Hemisphere climate change,AI,Andrew,AR,Klekociuk,M
1473,2013,CMP,STD,13-UOO-233,BAFfled: how does orf virus defeat the BAF cellular defence mechanism?,PI,Andrew,AA,Mercer,M
1566,2013,EIS,STD,13-NIW-003,Dilution of turbulent buoyant plumes: is it all in the how you turn the tap?,AI,Andrew,AJ,Lucas,M
1672,2013,HUM,STD,13-UOA-062,On the forge: the role of the international judge and arbitrator in the 21st century,AI,Andrew,ATF,Lang,M
1685,2013,MIS,STD,13-UOA-018,New directions at the geometry-analysis frontier,AI,Andrew,AK,Waldron,M
1706,2013,MIS,FS,13-VUW-017,Computability theory in the constructible universe,AI,Andrew,A S,Marks,M
1802,2014,BMS,STD,14-UOO-262,Mapping neuroplasticity in the brain,AI,Andrew,AN,Clarkson,M
1830,2014,CMP,STD,14-UOO-235,"Memory impairments after stroke, a stressful condition",PI,Andrew,AN,Clarkson,M
1874,2014,EHB,STD,14-UOO-001,Transitions in prehistory: subsistence and health change in northern Chile,AI,Andrew,AR,Millard,M
1913,2014,EIS,FS,14-UOA-165,Robotic ‘therapy and assessment’ to understand the development of muscle function in children with cerebral palsy following botulinum toxin treatments,PI,Andrew,AJ,McDaid,M
2088,2015,BMS,STD,15-UOO-211,Identifying novel DNA replication components through harnessing the resource of Mendelian disease,AI,Andrew,AP,Jackson,M
2093,2015,BMS,FS,15-UOA-209,A novel approach for studying the mechanoenergetics of the heart at the tissue level,AI,Andrew,AJ,Taberner,M
2116,2015,CMP,FS,15-PAF-001,Evolution of a gene silencing mechanism contributing to speciation,AI,Andrew,AD,Hudson,M
2210,2015,ESA,STD,15-GNS-012,Is the Southern Ocean carbon sink sinking? Using records of atmospheric radiocarbon to characterise the response of the Southern Ocean to climate change,AI,Andrew,AM,Smith,M
2271,2015,HUM,FS,15-UOO-171,The ethics of research on clinical data and tissue without explicit patient consent,AI,Andrew,AJ,Moore,M
2307,2015,PCB,STD,15-UOA-337,Stretchable polymer electronics that sticks and heals,AI,Andrew,ARJ,Nelson,M
2427,2016,EEB,STD,16-UOW-029,Using New Zealand's divaricate plants to test a new hypothesis about the evolution of anti-browsing defences,AI,Andrew,AJ,Tanentzap,M
2525,2016,ESA,STD,16-UOC-063,Counting the number and distribution of planets in the Galaxy.,AI,Andrew,AP,Gould,M
2547,2016,ESA,FS,16-VUW-171,Establishing natural baselines of glacier variability in a warm world,AI,Andrew,AN,Mackintosh,M
2574,2016,MIS,STD,16-UOA-051,Geometric structures critical for analysis and physical theories,AI,Andrew,AK,Waldron,M
2697,2017,BMS,FS,17-UOA-300,Diagnosing the diabetic heart,AI,Andrew,AJ,Taberner,M
2739,2017,EEB,STD,17-LCR-006,Whole-genome duplication in plants: what is the pathway to success?,AI,Andrew,AJ,Tanentzap,M
2902,2017,ESA,STD,17-VUW-094,Did a previous collapse of the Antarctic Ice Sheet cause abrupt climate change in the Southern Hemisphere?,PI,Andrew,AN,Mackintosh,M
550,2009,PSE,STD,09-UOC-080,Probing the structure and femtosecond dynamics of excited states of lanthanide phosphor materials,AI,Andries,A,Meijerink,M
1053,2011,ESA,STD,11-MAU-032,Isolated planetary mass objects in the Galaxy: alien worlds between stars,PI,Andrzej,A,Udalski,M
2850,2017,EIS,FS,17-MAU-117,Encapsulation of an aqueous liquid in a drop of aqueous liquid,AI,Andrzej,AW,Pacek,M
753,2010,EIS,STD,10-UOC-020,Understanding and improving the transition from novice to expert performance with user interfaces,PI,Andy,AJG,Cockburn,M
1016,2011,EIS,STD,11-MAU-038,Is algal photosynthesis sustainable? Nitrous oxide synthesis by microalgae and its consequence for the algae industry,AI,Andy,AN,Shilton,M
1021,2011,EIS,STD,11-MAU-053,Establishing the engineering fundaments of a new algal based phosphorus removal process,PI,Andy,AN,Shilton,M
1523,2013,EEB,FS,13-VUW-038,Making a rod for our own backs: do human actions select for traits that promote invasiveness in animals?,AI,Andy,AV,Suarez,M
1941,2014,ESA,STD,14-VUW-085,Structure and uplift of the Transantarctic Mountains,AI,Andy,A,Nyblade,M
2282,2015,MIS,STD,15-UOA-341,Robust optimisation under uncertainty with limited data,PI,Andy,AB,Philpott,M
2579,2016,MIS,STD,16-UOA-286,Understanding the geometry of dynamics: invariant manifolds and their interactions,AI,Andy,A,Hammerlindl,M
2823,2017,EIS,STD,17-MAU-023,The greedy algae that are great for our environment: why do they pay an energy penalty to gorge phosphate?,AI,Andy,AN,Shilton,M
2913,2017,ESA,FS,17-NIW-005,Southern Ocean fronts - Still an un(re)solved mystery!,AI,Andy,AM,Hogg,M
637,2010,BMS,STD,10-UOO-098,Multifunctional azoles: A triple whammy designed to defeat drug resistance,AI,Anette,A,Klinger,F
269,2008,SOC,STD,08-UOO-167,"Migration, ethnicity, and asylums in New Zealand and Australia 1860-1910",PI,Angela,AH,McCarthy,F
600,2009,SOC,STD,09-UOO-023,Mothers' darlings: children of indigenous women and World War Two American servicemen in New Zealand and South Pacific societies,PI,Angela,AC,Wanhalla,F
1513,2013,EEB,FS,13-LCR-017,Does investment into seed dispersal alter with plant height and island size?,AI,Angela,AT,Moles,F
1775,2013,SOC,FS,13-MAU-083,Affect and identity in contemporary television drama,PI,Angela,AM,Moewaka-Barnes,F
2081,2015,BMS,STD,15-UOO-034,Generating novel biosensors to monitor oxidative stress in the heart,AI,Angela,AF,Dulhunty,F
2273,2015,HUM,FS,15-UOO-171,The ethics of research on clinical data and tissue without explicit patient consent,PI,Angela,AJ,Ballantyne,F
2781,2017,EEB,FS,17-LCR-012,Friends on the forest floor: do facilitative interactions dominate in New Zealand’s unique bryoflora?,PI,Angela,AJ,Brandt,F
82,2008,EEB,STD,08-UOC-023,The dynamics of spatially compressed food webs,PI,Angus,AR,McIntosh,M
1460,2013,CMP,STD,13-UOA-154,Biological glass: the molecular and cellular determinations of the optical properties of the ocular lens,AI,Angus,AC,Grey,M
1590,2013,EIS,FS,13-UOA-291,Characterising gas bubble effects on the droplet spreading process using numerical modelling,PI,Anh,ATT,Tran,F
3026,2017,SOC,STD,17-TWR-001,"Whāngai and the adoption of Māori: healing the past, transforming the future",PI,Ani,AL,Mikaere,F
2368,2016,BMS,STD,16-UOO-178,The genes of life and death: a role for placental-specific genes in cancer?,AI,Aniruddha,A,Chatterjee,F
2702,2017,BMS,FS,17-UOO-240,Challenging the gene silencing dogma: DNA methylation as a mechanism for gene activation,PI,Aniruddha,A,Chatterjee,F
1203,2012,BMS,FS,12-UOO-210,Hormonal regulation of immune cells: does anti-hormone therapy inadvertently fuel cancer?,PI,Anita,AK,Dunbier,F
3041,2017,SOC,STD,17-UOO-003,Putting Hope into Action: What inspires and sustains young people’s engagement in social movements?,AI,Anita,AN,Lacey,F
765,2010,ESA,STD,10-GNS-001,"Bacterial geo-thermometer: A new, precise indicator of climate change",AI,Ann,AC,Dieffenbacher-Krall,F
1183,2011,SOC,FS,11-LIU-007,"Urbanising sustainability: everyday encounters of risk, justice and nature",AI,Ann,A,Dupuis,F
1968,2014,HUM,STD,14-VUW-027,Rape myths as barriers to fair trial practices,PI,Ann,A,Weatherall,F
2050,2014,SOC,STD,14-UOW-004,"Te Mauria Whiritoi: the sky as a cultural resource - Maori astronomy, ritual and ecological knowledge",AI,Ann,AL,Hardy,F
2649,2016,SOC,STD,16-VUW-177,Ngā Takahuringā ō te ao- The effect of Climate Change on Traditional Māori Calendars,AI,Ann,AK,Nu'uhiwa,F
1655,2013,ESA,FS,13-GNS-035,Reconstructing complex ground motion effects in Christchurch during the Canterbury earthquakes: what does this mean for future ground motion prediction?,PI,Anna,AE,Kaiser,F
1842,2014,EEB,STD,14-UOA-080,Predicting the adaptive potential of small populations: a case study in the endangered New Zealand hihi,PI,Anna,AW,Santure,F
2269,2015,HUM,FS,15-UOA-170,Antipodean arks: settler colonial zoos in local and global contexts,PI,Anna,AK,Boswell,F
2335,2015,SOC,STD,15-UOA-222,Unravelling the complexities of socio-economic position (SEP) in the elderly,AI,Anna,AK,Rolleston,F
2343,2015,SOC,STD,15-VUW-079,The missing link: Pakeha intergenerational family memory,PI,Anna,AE,Green,F
2470,2016,EHB,STD,16-UOC-079,An Artificial Algebra for Implicit Learning of Mathematical Structure,AI,Anna,AJ,Wilson,F
2625,2016,PCB,FS,16-UOO-216,A green approach to denitrification of water,PI,Anna,AL,Garden,F
2792,2017,EHB,STD,17-MAU-133,"Predict to decide: Investigating decision markets in theory, experiments and practical applications",AI,Anna,A,Dreber,F
2925,2017,ESA,FS,17-UOC-065,The impact of massive stars on the lifecycle of galaxies: tracing massive star formation feedback in the nearby Universe,PI,Anna,AF,McLeod,F
3021,2017,SOC,STD,17-TWR-001,"Whāngai and the adoption of Māori: healing the past, transforming the future",AI,Annabel,ALM,Ahuriri-Driscoll,F
588,2009,SOC,STD,09-UOA-046,Te Ao Tawhito: the ancient Maori world,PI,Anne,A,Salmond,F
925,2010,SOC,FS,10-VUW-085,Counting Sheep: NZ Merino wool in an internet of things,PI,Anne,AM,Galloway,F
1869,2014,EHB,STD,14-UOA-019,"8,000 years of hunter-gatherer adaptation: burial and bioarchaeology at Roonka, Australia",AI,Anne,MA,Katzenberg,F
2183,2015,EHB,FS,15-UOO-116,Meet the neighbours: evidence for interaction between the Lapita culture and non-Austronesian communities in Papua New Guinea,PI,Anne,AC,Ford,F
2331,2015,SOC,STD,15-UOA-013,Te ao hou: transforming worlds in New Zealand 1900-1950,PI,Anne,A,Salmond,F
2452,2016,EEB,FS,16-UOA-321,Why don't orchid pollinators go extinct? A new mechanism for the maintenance of coevolutionary relationships,PI,Anne,AC,Gaskett,F
2254,2015,ESA,FS,15-UOO-070,The ice is melting: how do trace metals in the ocean influence the Antarctic marine ecosystem and global climate?,AI,Anne-Carlijn,A-C,Alderkamp,F
1557,2013,EHB,FS,13-UOA-015,"Shaping cooperation: identifying how genes, experience, and socio-cognitive ability influence the development of cooperation in early childhood",PI,Annette,AME,Henderson,F
2803,2017,EHB,STD,17-UOA-280,Conflict recovery in families: Why inevitable conflict does not have to be detrimental.,PI,Annette,AME,Henderson,F
56,2008,CMP,FS,08-UOA-056,Exploring the heart warming but deadly impacts of climate change,PI,Anthony,AJR,Hickey,M
